Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/S11/current/S1188/,SDN:S11::S1188,preflexion larvae,"",A fish life stage between complete yolk-sac absorption and until the start of notochord flexion.,1,false,2021-04-28 14:30:06.0
http://vocab.nerc.ac.uk/collection/S11/current/S1174/,SDN:S11::S1174,scyphistoma,"","The fixed segmented polyp-like stage in the life cycle of a jellyfish, which reproduces asexually by budding (strobilation).",1,false,2019-08-23 12:59:58.0
http://vocab.nerc.ac.uk/collection/S11/current/S1184/,SDN:S11::S1184,early stage eggs,"","An embryonic development stage from extrusion of the egg to the formation of an advanced blastodisc (also known as the germinal disc or blastoderm), encompassing the zygote, morula and blastula stages of egg development.",1,false,2021-04-28 14:29:58.0
http://vocab.nerc.ac.uk/collection/S11/current/S1175/,SDN:S11::S1175,cercaria purpurea,"","The larval stage of the trematode Parorchis acanthus (urn:lsid:marinespecies.org:taxname:158687), a parasitic castrator of the common periwinkle Littorina littorea (urn:lsid:marinespecies.org:taxname:140262). Trematoda is a clade within the phylum Platyhelminthes. It includes two groups of parasitic flatworms, known as flukes. They are internal parasites of molluscs and vertebrates.",1,false,2019-08-23 13:04:46.0
http://vocab.nerc.ac.uk/collection/S11/current/S1131/,SDN:S11::S1131,not specified,"",No information on development stage has been provided.,2,false,2006-03-29 08:30:54.0
http://vocab.nerc.ac.uk/collection/S11/current/S1197/,SDN:S11::S1197,nectochaeta,nectochaetae,"A developmental stage found in Polychaeta species, it is a planktonic stage bearing functioning parapodia serving locomotion [Plate and Huseman 1994](https://hmr.biomedcentral.com/track/pdf/10.1007/BF02366201.pdf).",1,false,2021-08-24 12:20:09.0
http://vocab.nerc.ac.uk/collection/S11/current/S1170/,SDN:S11::S1170,spat,"","Shellfish larvae of the Bivalvia class (e.g. oysters, mussels, scallops) that have settled on a substrate following the end of their planktonic life stage (plural form may be spat or spats).",1,false,2018-03-26 13:06:59.0
http://vocab.nerc.ac.uk/collection/S11/current/S1183/,SDN:S11::S1183,pre-adult and adult motile stages,motile (sea lice),"The pre-adult and adult life stages of parasitic copepod species, commonly referred to as 'sea lice', that are marked by the ability of parasites to move freely across the surface of their host or swim freely in the water column. Sea lice motile stages are preceded by the chalimus stages in which the organism is attached to its host by a frontal filament and exclude the free-swimming naupliar and copepodid stages.",1,false,2021-03-23 14:39:37.0
http://vocab.nerc.ac.uk/collection/S11/current/S1181/,SDN:S11::S1181,epitoke,"","A life stage of aquatic polychaete worms whose life cycle include a process known as ""epitoky"". Epitoky is the metamorphosis of a sexually immature worm (the atoke) into a sexually mature form (the epitoke) adapted for a brief free-swimming near-surface phase.",1,false,2019-11-25 15:28:56.0
http://vocab.nerc.ac.uk/collection/S11/current/S1172/,SDN:S11::S1172,newborn,neonatus,"A newly born vertebrate (fishes, amphibians, reptiles, birds, mammals). The term 'hatchling' is used for newborn emerged from an egg.",2,false,2018-12-11 17:20:01.0
http://vocab.nerc.ac.uk/collection/S11/current/S1177/,SDN:S11::S1177,sporocyst,"",A term used for a development stage in the lifecycle of Apicomplexa parasites and trematode flatworm parasites (flukes). In the trematodes lifecycle it is an elongated sac-like structure that is formed in the initial stage of infection of an intermediate host (typically a snail). It develops from a miracidium and evolve into a redia.,1,false,2019-08-23 13:20:27.0
http://vocab.nerc.ac.uk/collection/S11/current/S1179/,SDN:S11::S1179,ephyra,ephyrula,"A free-swimming precursor stage of the adult medusa stage, ephyrae (or ephyrulae) are small medusae (""medusoid heads"") that separate from the polyp by budding in a process known as strobilation before metamorphosing into scyphomedusae, the life stage of the adult medusa typically identified as jellyfish. Strobils can sometimes become scyphomedusae without passing through the ephyra stage.",1,false,2019-08-29 18:04:40.0
http://vocab.nerc.ac.uk/collection/S11/current/S1187/,SDN:S11::S1187,yolk-sac larvae,"",A fish life stage between hatching and until complete absorption of yolk-sac.,1,false,2021-04-28 14:30:04.0
http://vocab.nerc.ac.uk/collection/S11/current/S1194/,SDN:S11::S1194,paralarva,paralarvae,Planktonic stage of young cephalopods between hatching and sub-adult.,1,false,2021-08-24 11:28:50.0
http://vocab.nerc.ac.uk/collection/S11/current/S1189/,SDN:S11::S1189,flexion larvae,"",A fish life stage between the start of notochord flexion and until complete notochord flexion. This is concurrent with development of the caudal-fin rays and supporting skeletal elements.,1,false,2021-04-28 14:30:08.0
http://vocab.nerc.ac.uk/collection/S11/current/S1195/,SDN:S11::S1195,eudoxid,"",Free-living sexual unit of a majority of calycophoran siphonophores.,1,false,2021-08-24 11:47:51.0
