Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/L05/current/62/,SDN:L05::62,beam trawls,"",Nets towed over the sea floor having the horizontal net opening provided by a wooden or metal beam that disrupts the surface of the bed.,1,false,2010-07-30 10:19:35.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB11/,SDN:L05::LAB11,high performance liquid chromatographs,"",Instruments that separate and analyse mixtures of substances by high pressure pumping the sample through a column packed with microspheres coated with the stationary phase.,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/32/,SDN:L05::32,particulates samplers,"",A system that collects samples of water column particulates such as in-situ high volume filtration systems liks SAPs.,1,false,2007-11-20 08:50:03.0
http://vocab.nerc.ac.uk/collection/L05/current/84/,SDN:L05::84,sieves and filters,"",Devices that separate solid particles larger than a particular size from a sample collected by another device that is a suspension of solid particles in a liquid or gas.,3,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/81/,SDN:L05::81,shipboard incubators,"",A device mounted on a ship that holds water samples under conditions of controlled temperature or controlled temperature and illumination.,1,false,2008-01-10 15:47:47.0
http://vocab.nerc.ac.uk/collection/L05/current/152/,SDN:L05::152,sidescan sonars,"",Instruments with directional acoustic transmitters and receivers fitted to an underwater platform that emit fan-shaped pulses down toward the seafloor across a wide angle perpendicular to the path of the platform through the water.,1,false,2007-11-20 09:34:40.0
http://vocab.nerc.ac.uk/collection/L05/current/64/,SDN:L05::64,active fishing gear,"",Apparatus where capture is based on chasing the target species (e.g. a trawl).,1,false,2010-07-30 10:24:37.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB38/,SDN:L05::LAB38,cavity enhanced absorption spectrometers,CEAS,"Instruments that illuminate a sample inside an optical cavity, typically using laser light, and measure the concentration or amount of a species in gas phase by absorption spectroscopy. Techniques include cavity ring-down spectroscopy (CRDS) and integrated cavity output spectroscopy (ICOS).",2,false,2014-12-16 08:36:22.0
http://vocab.nerc.ac.uk/collection/L05/current/112/,SDN:L05::112,inverted echosounders,"",Instruments that locate acoustic reflectors such as fronts in the water column by transmitting pulses of sound from the seabed and determing reflection return times.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/SNWG/,SDN:L05::SNWG,watergun,"","A marine seismic energy source divided into two chambers, the firing chamber, which contains compressed air, and the other chamber, which is filled with water. When the gun is fired, the compressed air forces the shuttle downward and this expels the water from the lower chamber. The shot of water leaving the gun creates a void behind it and the collapse of water into this void creates an acoustic wave.",1,false,2010-10-18 13:23:56.0
http://vocab.nerc.ac.uk/collection/L05/current/132/,SDN:L05::132,bathythermographs,"",Instruments that measure vertical profiles of sea temperature by either lowering a pressure plus temperature senor package (MBT) or dropping a free falling disposable sensor (XBT).,1,false,2007-11-20 09:34:40.0
http://vocab.nerc.ac.uk/collection/L05/current/389/,SDN:L05::389,Expendable bathythermographs,"","Disposable, free-falling probes that measure temperature in relation to depth using a thermistor and electronic data acquisition system. Probes are dropped into the water and a temperature signal is transferred to the platform by a wire that breaks when the wire is out. Depth is calculated as a function of time to descend and a known constant rate of descent.",1,false,2018-10-24 08:19:59.0
http://vocab.nerc.ac.uk/collection/L05/current/307/,SDN:L05::307,accelerometers,"",Instruments that measure non-gravitational accelerations acting upon a spacecraft.,1,false,2008-01-10 16:21:52.0
http://vocab.nerc.ac.uk/collection/L05/current/POS14/,SDN:L05::POS14,Pulse8 receivers,Pulse8,"{
  ""frequency"": ""100kHz"",
  ""mode"": ""hyperbolic"",
  ""range"": ""250km to 750km"",
  ""accuracy"": ""30m to 500m"",
  ""operational"": ""1970s to late 1990s""
}",3,false,2015-12-09 11:27:24.0
http://vocab.nerc.ac.uk/collection/L05/current/56/,SDN:L05::56,snow and ice samplers,"",A device that collects a sample of frozen seawater or accumulated frozen precipitation.,2,false,2013-02-26 17:11:07.0
